-arvoinen	-arvoidnen
njálgáh	njálgát
njálgásmiđ	njálgásmit
njálgásávt	njálgásávt
njálmuđ	njálbmut
njálmádâh	njálbmádat
njápčááttiđ	njápčáhttit
njárbudiđ	njárbudit
njárbuđ	njárbut
njávguđ	njávgut
njášku	njáiku
njäbbi	njábbi
njäidi	njáidi
njälmi	njálbmi
njävgiđ	njávgit
njävhistiđ	njávhistit
njävli	njávli
njäähi	njáhi
njäälgis	njálgis
no	no
nobduđ	nobdut
nocce	nohcci
noccedâttâđ	nohccedadtat
noccáá	nohccá
noddiđ	noddit
nohhee	nohhei
nohhááttiđ	nohháhttit
nohádistiđ	nohádistit
nohádittiđ	nohádihttit
nohádiđ	nohádit
noigâđ	noigat
nokko	nohkko
nolládiđ	nolládit
nolláđ	nollát
nolppokussâ	nolhppokussa
nommâ	nopma
nommâdiđ	nopmadit
nommâloppâ	nopmalohppa
nomâlâs	nomalas
nomâttem	nomadten
nomâttiđ	nomadtit
nomâttâs	nomadtas
nonniđ	nodnit
nooijâđ	nodjat
noollâđ	nollat
noppe	nohppi
noppânjavkke	nohppanjavhkki
nore	nori
norkkâ	norhkka
noskettiđ	noskehttit
noskáttiđ	noskáhttit
novdâ	novda
nubbe	nubbi
nubbááš	nubbáš
nubepel	nubepel
nubepeln	nubepeln
nubetove	nubetovi
nubijdis	nubdjdis
nubás	nubás
nubásmittiđ	nubásmihttit
nubásmiđ	nubásmit
nubástuđ	nubástut
nuhhuđ	nuhhut
nuhostiđ	nuhostit
nuhostâh	nuhostat
nuhtán	nuhtán
nuhâstiđ	nuhastit
nuijáá	nudjá
nuje	nuji
nukkosiđ	nuhkkosit
nukkâđ	nuhkkat
nulhediđ	nulhedit
nuládiđ	nuládit
nuolluđ	nuollut
nuollâđ	nuollat
nuolâsiđ	nuolasit
nuorbâđ	nuorbat
nuorttii	nuorhtti
nuorttii-	nuorhtti-
nuorttâ	nuorhtta
nuorttân	nuorhttan
nuortâs	nuortas
nuorâ	nuora
nuorâsmittiđ	nuorasmihttit
nuorâšiđ	nuorašit
nuoskušiđ	nuoskušit
nuottii	nuohtti
nuottâ	nuohtta
nuotâlâš	nuotalaš
nurde	nurdi
nurdâstâllâđ	nurdastallat
nurrâluđ	nurralut
nursse	nurssi
nursseluđ	nursselut
nurssom	nursson
nurssođ	nurssot
nurvodâttâđ	nurvodadtat
nurvostiđ	nurvostit
nurvottâttâđ	nurvohttadtat
nurvođ	nurvot
nurváástâllâđ	nurvástallat
nurâdiđ	nuradit
nurâdâttâđ	nuradadtat
nurâliđ	nuralit
nuske	nuski
nutkâliđ	nutgalit
nutkâđ	nutgat
nuttâliđ	nuhttalit
nuttâluđ	nuhttalut
nutâgiđ	nutagit
nuubiš	nubiš
nuuhâđ	nuhat
nuurrâđ	nurrat
nuuská	nuská
nuuvt	nuvt
nuuvtko	nuvtgo
nuvgâ	nuvga
nuváhánnáá	nuváhádná
nuvâttiđ	nuvadtit
nuálusiđ	noalusit
nuáluskaamuv	noaluskámuv
nuárvi	noarvi
nuárvui	noarvui
nuárvuinjune	noarvuidnjuni
nuárvádiđ	noarvádit
nuáski	noaski
nuáskudiđ	noaskudit
nuáskus	noaskus
nuáskádâs	noaskádas
nuástiđ	noastit
nuáttuđ	noahttut
nuávlu	noavlu
nuáđi	noađi
nuáđásiđ	noađásit
nuđhâttiđ	nuđhadtit
nyeli	nuoli
nyeri	nuori
nyeski	nuoski
nyeskivuotâ	nuoskivuota
nyevt	nuovt
nábbá	nábbá
nággu	nággu
nágáttâllâđ	nágáhttallat
nánnáá	nádná
náskál	náskál
návdoo	návdo
návduđ	návdut
návt	návt
náálu	nálu
nááppáš	náhppáš
náárááš	náráš
nähki	náhgi
näidi	náidi
näimilito	náimilito
nälittem	nálihtten
nävdi	návdi
nävli	návli
nääli	náli
o	o
oberjâš	oberjaš
oggârâššâđ	oggaraššat
ohcii	ohci
ohe	ohi
ohtii	ohti
ohtiigin	ohtigidn
ohtuunis	ohtunis
ohtâ	ohta
ohtâdâh	ohtadat
ohtâgâslâš	ohtagaslaš
ohtân	ohtan
ohtâvuotâ	ohtavuota
oinuđ	oidnut
okkolostâ	ohkkolosta
okâttiđ	okadtit
oles	oles
olesolmooš	olesolbmoš
olgiš	olgiš
olgoláhháá	olgoláhhá
olgoláá	olgolá
olgooš	olgoš
olgos	olgos
olgospyehtim	olgospuohtin
oljo	oljo
oljosoráase	oljosoráasi
oljočievrâasasâš	oljočievrásasaš
oljočievrâase	oljočievrási
ollee	ollei
olliđ	ollit
olluv	olluv
olluvvuotâ	olluvvuota
ollágin	ollágidn
ollásávt	ollásávt
ollâgub	ollagut
ollâgumos	ollagumos
ollâmielâg	ollamielat
olmooš	olbmoš
olmoošloho	olbmošloho
olmoošmettum	olbmošmehttun
olmâ	olbma
olmânáál	olbmanál
olnâ	olna
olottimmuddo	olohttipmuddo
olssis	olssis
olssâd	olssat
olssân	olssan
olán	olán
olášuttem	olášuhtten
olâttiđ	oladtit
omo	omo
omo-	omo-
omâdâh	omadat
omâslâš	omaslaš
omâsteijee	omastedjei
omâstemkiäjus	omastemgeajus
omâttâllâđ	omadtallat
onnuđ	odnut
oobbiš	obbiš
oohtân	ohtan
ooleest	oleast
oolgiš	olgiš
ooláádmuddo	oládmuddo
oolâ	ola
oommân	opman
oomâs	omas
oordel	ordel
oornig	ornit
oornigist	ornigist
oornigân	ornigan
oovce	ovci
oovces	ovces
oovdeb	ovdet
oovdeld	ovdelt
oovdeldceehis	ovdeldceahis
oovdeldhaŋgâ	ovdeldhaŋga
oovdeldkietân	ovdeldkietan
oovdiš	ovdiš
oovdân	ovdan
oovdânpyehtim	ovdanpuohtin
oovdânpyehtiđ	ovdanpuohtit
oovdâs	ovdas
oovdâst	ovdast
oovdâš	ovdaš
oovtnáál	ovtnál
oovtâdâh	ovtadat
oovtâkiärdán	ovtageardán
oovtâloho	ovtaloho
oovtâst	ovtast
oovtâstpargo	ovtastpargo
oođâ	ođa
oppeet	ohppeat
oppâ	ohppa
oppâđ	ohppat
opsijdiđ	oksdjdit
opsâ	oksa
opâdiđ	opadit
opâtteijee	opadtedjei
opâttiđ	opadtit
opâttâs	opadtas
ordo	ordo
ordâ	orda
orespeeci	orespeaci
orgaan	orgán
orjâlâškielâ	orjalaikiela
orjâlâšpiegâpeln	orjalašpiegabeln
orniistâllâđ	ornistallat
ornijdume	orndjdumi
ornijdâh	orndjdat
orniđ	ornit
oro	oro
orosistiđ	orosistit
orostistiđ	orostistit
orostittiđ	orostihttit
orostiđ	orostit
orroo	orro
orroommáášu	orropmášu
orroođ	orrot
orrâ	orra
orvâttuđ	orvadtut
orvâđ	orvat
oskeldiđ	oskeldit
oskeldâttâđ	oskeldadtat
osko	osko
oskoldâh	oskoldat
oskottem	oskohtten
oskottiđ	oskohttit
oskovâš	oskovaš
oskođ	oskot
ostodiđ	ostodit
ostoduđ	ostodut
ostomuorâ	ostomuora
ostâdiđ	ostadit
ostâliđ	ostalit
ostâstuđ	ostastut
ostâđ	ostat
otânâššâđ	otanaššat
ovdebist	ovdebist
ovdebáš	ovdebáš
ovdeláhháá	ovdeláhhá
ovdeláá	ovdelá
ovdemuš	ovdemuš
ovdiibel	ovdibel
ovdláhháá	ovdláhhá
ovdánem	ovdánen
ovdániđ	ovdánit
ovdâdâs	ovdadas
ovdâháástâllâđ	ovdahástallat
ovdâhâš	ovdahaš
ovdâjuurdâ	ovdajurda
ovdâkietân	ovdagietan
ovdâkiistâ	ovdagista
ovdâl	ovdal
ovdâlabdos	ovdalabdos
ovdâlist	ovdalist
ovdâláhháá	ovdaláhhá
ovdâláá	ovdalá
ovdâolmooš	ovdaolbmoš
ovdâskulij	ovdaskuldj
ovdâskuávlui	ovdaskoavlui
ovdâspiergim	ovdaspiergin
ovdâsteijee	ovdastedjei
ovdâvepsi	ovdaveksi
ovdâšeh	ovdašet
ovttuu	ovhttu
ovtâskâs	ovtaskas
ovtâspargo	ovtaspargo
ovtâttem	ovtadten
ovtâttâh	ovtadtat
oŋâttuššâđ	oŋadtuššat
oŋâttâššâđ	oŋadtaššat
oškâstiđ	oikastit
ožijduđ	oždjdut
paa	bá
paaccâh	báhccat
paahus	báhus
paaimân	báiman
paajaaš	bájáš
paajeeld	bájealt
paajeeldceehis	bájealdceahis
paajeeldhaŋgâ	bájealdhaŋga
paajâ	bája
paaldâst	báldast
paalgâs	bálgas
paargâs	bárgas
paarooh	bárot
paarâ	bára
paasnik	básnik
paast	bást
paastaho	bástaho
paađur	báđur
paaŋŋâđ	báŋŋat
paccâhâš	bahccahaš
pacâdiđ	bacadit
paddâsiđ	baddasit
paddâđ	baddat
paggiđ	baggit
paha	baha
pahaduđ	bahadut
pahadâs	bahadas
pahakkâs	bahahkkas
pahalâš	bahalaš
pahheeđ	bahheat
pahudiđ	bahudit
pahâdistiđ	bahadistit
pahâdiđ	bahadit
pahčániđ	bakčánit
paifakkist	baifahkkist
paijeel	badjeal
paijeentoollâm	badjeantollan
paimâlâs	baimalas
paimândiđ	baimandit
paimâttiđ	baimadtit
paimâđ	baimat
paittuđ	baihttut
pajaldâs	bajaldas
pajalist	bajalist
pajalâš	bajalaš
pajanistiđ	bajanistit
pajaniđ	bajanit
paje	baji
pajedistiđ	bajedistit
pajediđ	bajedit
pajekielâ	bajekiela
pajemuš	bajemuš
pajeolmooš	bajeolbmoš
pajâččiđ	bajahččit
pakkeet	bahkkeat
pakkâ	bahkka
palaskiđ	balaskit
paldattâllâđ	baldahttallat
paldee	baldei
paldettiđ	baldehttit
paldeđ	baldet
paldâ	balda
paldâlistiđ	baldalistit
palgâđ	balgat
palijdiđ	baldjdit
pallađ	ballat
palliđ	ballit
pallâhistiđ	ballahistit
palolâš	balolaš
palvâleijee	balvaledjei
palvâlem-	balvalem-
palvâliđ	balvalit
palvâlus	balvalus
palvâlusâst	balvalusast
palâkkistiđ	balagkistit
pamppâđ	bamhppat
panjig	banjit
pannaal	badnál
panneeđ	badneat
panniđ	badnit
panttiittiđ	banhttihttit
panttâ	banhtta
panâštiđ	banaitit
parahittiđ	barahihttit
pardeđ	bardet
pargeldiđ	bargeldit
pargo	bargo
pargokooskâst	bargokoskast
pargopiergâs	bargopiergas
pargopittá	bargopihttá
pargottem	bargohtten
parnâmčääci	barnamčáci
parnâđ	barnat
parttâšuđ	barhttašut
parâkodde	baragoddi
parâlastâ	baralasta
parâpeeli	barabeali
pase	basi
paseliđ	baselit
pasettiđ	basehttit
paskiittiđ	baskihttit
paskooh	baskot
paskos	baskos
passaa	bassá
passaamus	bassámus
passeem	bassean
passeeđ	basseat
passuđ	bassut
pastel	bastel
pastem	basten
pastemnjune	bastemnjuni
pastettem	bastehtten
pastettuđ	bastehttut
pasteđ	bastet
patâreijee	bataredjei
patârittiđ	batarihttit
patâriđ	batarit
pavestiđ	bavestit
pačarâs	bačaras
pačâlâhčâđ	bačalakčat
paččeeđ	bahččeat
paččođ	bahččot
paččuđ	bahččut
pađđeeđ	bađđeat
paŋâliđ	baŋalit
paškestuđ	baikestut
paštuuttiđ	baituhttit
pecičuskâ	becičuska
peeccih	beahccit
peeci	beaci
peeggâlm	beaggalbn
peeicâ	beaica
peeilâ	beaila
peeivipaaštâ	beaivipáita
peeli	beali
peeliš	beališ
peeljis	bealjis
peeljâs	bealjas
peenuv	beanuv
peerbil	bearbil
peerrâđ	bearrat
peertis	beartis
peesi	beasi
peessiđ	beassit
peessâđ	beassat
peettâđ	beahttat
peggimsaahâ	beggimsáha
peggiđ	beggit
pegâlmâs	begalbmas
peht	beht
pehtil	behtil
pehtilistiđ	behtilistit
pehtilittiđ	behtilihttit
peittâdâttâđ	beihttadadtat
peittâttâđ	beihttadtat
peivi	beivi
peiviv	beiviv
pekkuđ	behkkut
pekkânjuš	behkkanjuš
pelbi	belbi
peldi	beldi
pele	beli
pelemat	belemat
peles	beles
pelgi	belgi
pelhittuđ	belhihttut
pelhittâttâđ	belhihttadtat
pelihaadan	belihádan
pelikyeimi	belikuoimi
pelji	belji
peljikappeer	beljikahppear
peljikässi	beljikássi
peljipel	beljipel
peljistäđđee	beljistáđđei
peljittem	beljihtten
peljiš	beljiš
pelkkiliđ	belhkkilit
pelkkiđ	belhkkit
pelnub	belnut
pennâgâš	bednagaš
penttâ	benhtta
penuvkuálus	benuvkoalus
penuvráiđu	benuvráiđu
perbildiđ	berbildit
peri	beri
perriđ	berrit
perrâdâh	berradat
persovn	bersovdn
perustiđ	berustit
peski	beski
peskidiđ	beskidit
peskâ	beska
peskâheivi	beskaheivi
peskâsävŋi	beskasávŋi
pessi	bessi
pessijááh	bessdját
pessijâš-	bessdjaš-
pessiđ	bessit
pestittiđ	bestihttit
pestiđ	bestit
petittâttâđ	betihttadtat
pettee	behttei
pettiđ	behttit
pettuđ	behttut
pettâšuđ	behttašut
pevdi	bevdi
pevdilijne	bevdildjni
pevdiláá	bevdilá
pevdipijgá	bevdipdjgá
pevviruššâđ	bevviruššat
peŋkkâ	beŋhkka
peškiđ	beikit
pešnirihhááš	bešnirihháš
peštrihhááš	beitrihháš
piano	biano
pic	bic
piddojyelgi	biddojuolgi
pieggii	bieggi
pieggiittuđ	bieggihttut
piegguutteijee	biegguhttedjei
pieggâ	biegga
pieggâspälli	bieggaspálli
pieijâđ	biedjat
pieijâđ joton	biedjađ joton
piellivâs	biellivas
pielâsčuárvi	bielasčoarvi
piemmee	biepmei
piemmâđ	biepmat
pierbildiđ	bierbildit
piergiittâllâđ	biergihttallat
piergiđ	biergit
piernah	biernat
pierni	bierni
piervâl	bierval
piervâldiđ	biervaldit
pietittem	bietihtten
piettâliđ	biehttalit
pietâdid	bietadit
pievlii	bievli
pievlâ	bievla
pievlâđ	bievlat
pieđgiđ	bieđgit
piiccâđ	bihccat
piiru	biru
piivdus	bivdus
piivnoh	bivdnot
piivtâs	bivtas
piiŋušpeeli	biŋušpeali
pijguđ	bdjgut
pijgá	bdjgá
pijnešuđ	bdjnešut
pijpostâllâđ	bdjpostallat
pijssáđ	bdjssát
pikkánj	bihkkánj
piksâ	biksa
pile	bili
pilkke	bilhkki
pilkkediđ	bilhkkedit
pilkku	bilhkku
pille	billi
pilledeijee	billededjei
pillediđ	billedit
pillâšum	billašun
pillâšuđ	billašut
piltto	bilhtto
pime	bimi
pintediđ	bidntedit
piparkákku	biparkáhkku
pippârkákku	bihpparkáhkku
pircostiđ	bircostit
pirrâ	birra
pirrâdâh	birradat
pirrâjuurbâs	birrajurbas
pirrâluvâi	birraluvai
pirrâmpeivi	birrampeivi
pirrâčuoppâm	birračuohppan
pirrâčuoppâmvuotâ	birračuohppamvuota
pirâldâs	biraldas
pismár	bismár
pismárâššâđ	bismáraššat
pisovâš	bisovaš
pissiđ	bissit
pisso	bisso
pissoo	bisso
pisániđ	bisánit
pitejâš	bitejaš
pitteeđ	bihtteat
pittá	bihttá
pittásukkâr	bihttásuhkkar
pittááš	bihttáš
pivdee	bivdei
pivdeđ	bivdet
pivdo	bivdo
pivduu	bivdu
pivdáskiđ	bivdáskit
pivnohvuotâ	bivdnohvuota
pivvâl	bivval
piäggálm	beaggálbn
piägus	beagus
piäguttemsaahâ	beaguhttemsáha
piäguttiđ	beaguhttit
piäittáástâllâđ	beaihttástallat
piäivádâh	beaivádat
piäiválâš	beaiválaš
piäiváš	beaiváš
piäju	beaju
piäldutubbáák	bealdutubbák
piälháttâllâđ	bealháhttallat
piälkkáđ	bealhkkát
piällást	beallást
piällâs	beallas
piäluštiđ	bealuitit
piälálâš	bealálaš
piämmu	beapmu
piärgu	beargu
piärgumääli	beargumáli
piärgumäälis	beargumális
piärán	bearán
piäsádâh	beasádat
piättárrääsi	beahttárrási
piättáá	beahttá
piättârrääsi	beahttarrási
piätu	beatu
piätuellee	beatuellei
piätulâš	beatulaš
piävtálmittiđ	beavtálbmihttit
piävuttiđ	beavuhttit
piäđgud	beađgut
piäđgui	beađgui
piäškáđ	beaikát
piđđeeđ	biđđeat
piškerdiđ	bikerdit
piškođ	bikot
piškádiđ	bikádit
pištee-	bitea-
pištel	bitel
pištem	biten
pištevâš	bitevaš
pišteđ	bitet
plaakaat	blákát
poggâ	bogga
poggâgiđ	boggagit
poggâđ	boggat
pogâstiđ	bogastit
pogâštuđ	bogaitut
pohe	bohi
pohheel	bohheal
pohteđ	bohtet
pokke	bohkki
pokkečuárvi	bohkkečoarvi
pokkiđ	bohkkit
pokkođ	bohkkot
pokkáá	bohkká
pokkâšuđ	bohkkašut
polgâm	bolgan
pollo	bollo
polster	bolster
polsâ	bolsa
polttijâš	bolhttdjaš
polttođ	bolhttot
polvii	bolvi
polviđ	bolvit
polvâ	bolva
polvâšoŋŋâ	bolvašoŋŋa
polâttettee	boladtehttei
pompestiđ	bompestit
ponccár	bonhccár
poneh	bonet
ponjeldiđ	bonjeldit
ponne	bodni
ponnjood	bodnjot
ponnjáá	bodnjá
ponos	bonos
poogâs	bogas
pooliš	boliš
poonjeeld	bonjealt
pooráđ	borát
poorâ	bora
poossâđ	bossat
poovčâs	bovčas
poođâš	bođaš
porfiđ	borfit
porfâgiđ	borfagit
porgemáánu	borgemánu
porgesoksâmijguim	borgesoksamdjguin
porgiš	borgiš
porgottiđ	borgohttit
porgádiđ	borgádit
porgâttiđ	borgadtit
porgâđ	borgat
poros	boros
porottuđ	borohttut
porree	borrei
porrânjâs	borranjas
porskâšuđ	borskašut
porthááh	borthát
portháš	bortháš
poršše	boršši
posijpeivi	bosdjpeivi
poskâd	boskat
poskâdiđ	boskadit
poskâniđ	boskanit
posoliđ	bosolit
posoluđ	bosolut
posolâhčâđ	bosolakčat
possoođ	bossot
poster	boster
postinjâš	bostidnjaš
postânjuš	bostanjuš
posádiđ	bosádit
posâdâttâđ	bosadadtat
posâlid	bosalit
posâlâddâđ	bosaladdat
posâlâhčâđ	bosalakčat
potkâ	botga
potkâniđ	botganit
potkânâddâđ	botganaddat
pottuđ	bohttut
pottáák	bohtták
pottáás	bohttás
pottâ	bohtta
potás	botás
potâliđ	botalit
povdiittâs	bovdihttas
povdim	bovdin
povnâ	bovdna
povustem	bovusten
povustiđ	bovustit
povvâdiđ	bovvadit
povvâdâs	bovvadas
povvâstem	bovvasten
povvâstiđ	bovvastit
povvâstâllâđ	bovvastallat
povčâgiđ	bovčagit
povčâstiđ	bovčastit
pozettiđ	bozehttit
pozzelâttâđ	bozzeladtat
pozzásiđ	bozzásit
pozáttâllâđ	bozáhttallat
počâšiđ	bočašit
poččâ	bohčča
pođgeđ	bođget
pođoi	bođoi
pođâččiđ	bođahččit
poŋkkeđ	boŋhkket
poškâ	boika
poškâttuđ	boikadtut
priivaat	brivát
prinsiip	bridnsit
pugârdiđ	bugardit
puhelin	buhelidn
puhhiittâh	buhhihttat
puhhiđ	buhhit
puhkâliđ	buhgalit
puicce	buihcci
puigâ	buiga
puijáđ	budját
puitteđ	buihttet
puksâ-	buksa-
puksâluágih	buksaloagit
puldo	buldo
puljárâh	buljárat
puljârittiđ	buljarihttit
pullá	bullá
pullárittiđ	bullárihttit
pulláruh	bullárut
pulske	bulski
pulttâsiđ	bulhttasit
pumppu	bumhppu
pumppâ	bumhppa
punccâruššâđ	bunhccaruššat
punjâdâttâđ	bunjadadtat
punjâgiđ	bunjagit
punjâlâttâđ	bunjaladtat
punjâsiđ	bunjasit
punjâttâllâđ	bunjadtallat
punnjuđ	budnjut
puocâlâs	buocalas
puocâmuš	buocamuš
puoh	buot
puohah	buohat
puohlágán	buohlágán
puohrekkân	buohrehkkan
puohânissii	buohanissi
puohčâliđ	buokčalit
puohčâđ	buokčat
puoidâ	buoida
puolvâ	buolva
puolâččiđ	buolahččit
puolâš	buolaš
puolâšluoddiittâh	buolašluoddihttat
puoriš	buoriš
puoskâ	buoska
puoskâsekkâ	buoskasehkka
puosâh	buosat
puovnjâgiđ	buovdnjagit
puovtâ	buovta
puovtâdiđ	buovtadit
puoŋâ	buoŋa
purccáđ	burhccát
purdo	burdo
purgiistiđ	burgistit
purguđ	burgut
purgániđ	burgánit
purgâ	burga
purgâđ	burgat
purjániđ	burjánit
purjâstiđ	burjastit
purruđ	burrut
purrâmušlasâttâh	burramušlasadtat
purrâmâš	burramaš
purrâđ	burrat
purssâ	burssa
purâdiđ	buradit
purâdâttâđ	buradadtat
purâhinnáá	burahidnná
purâstuđ	burastut
purâtteijee	buradtedjei
purâttiđ	buradtit
pusnjâš	busnjaš
pussuđ	bussut
pussáá	bussá
putestiđ	butestit
puttâdiđ	buhttadit
puttâl	buhttal
puttâlâš	buhttalaš
puttâmäigi	buhttamáigi
puttâniđ	buhttanit
puttâđ	buhttat
putásmiđ	butásmit
puuhâđ	buhat
puuljâr	buljar
puunnjâđ	budnjat
puunâm	bunan
puurgâs	burgas
puurist	burist
puurrâmhaalu	burramhálu
puurrâmlusto	burramlusto
puurrâmmielâ	burrapmiela
puurâs	buras
puustav	bustav
puustuv	bustuv
puutijâš	butdjaš
puuvsah	buvsat
puuŋkâs	buŋkas
puvdâ	buvda
puzzâloovdâ	buzzalovda
puzzânjuolâ	buzzanjuola
puzzâsolge	buzzasolgi
puácuvuotâ	boacuvuota
puáhtámuš	boahtámuš
puáhuduđ	boahudut
puáhuttiđ	boahuhttit
puáhánjistiđ	boahánjistit
puáhčániđ	boakčánit
puáidudekes	boaidudekes
puáidudeves	boaidudeves
puáiduđ	boaidut
puáidáh	boaidát
puáidášiđ	boaidášit
puáimuđ	boaimut
puáissijdâ	boaissdjda
puájui	boajui
puájuiduđ	boajuidut
puákkudiđ	boahkkudit
puáksuđ	boaksut
puákuttiđ	boakuhttit
puáldimaamnâs	boaldimámnas
puáldimmuorâ	boaldipmuora
puáldiđ	boaldit
puáldámuš	boaldámuš
puáldáttâh	boaldáhttat
puálli	boalli
puállu	boallu
puállunjune	boallunjuni
puállurääsi	boallurási
puállááttiđ	boalláhttit
puállááttâs	boalláhttas
puálláđ	boallát
puálooh	boalot
puánjostiđ	boanjostit
puánjumâš	boanjumaš
puánjus	boanjus
puánnjuđ	boadnjut
puáris	boaris
puáriskállárääsi	boariskállárási
puárkkáá	boarhkká
puárree	boarrei
puársku	boarsku
puárskudiđ	boarskudit
puárvár	boarvár
puárániđ	boaránit
puáránâddâđ	boaránaddat
puáráttâs	boaráhttas
puáskudiđ	boaskudit
puáskulâs	boaskulas
puáskustâllâđ	boaskustallat
puáskuđ	boaskut
puástu	boastu
puástuvuotâ	boastuvuota
puásuh	boasut
puásui	boasui
puásui-iäigád	boasui-eaigát
puásuialmai	boasuialbmai
puásuikeččee	boasuikehččei
puásuiluđ	boasuilut
puásuiolmooš	boasuiolbmoš
puásuiomâsteijee	boasuiomastedjei
puásuiriges	boasuiriges
puásuisijdâ	boasuisdjda
puásuittuđ	boasuihttut
puátilistiđ	boatilistit
puátiliđ	boatilit
puátkuduđ	boatgudut
puátlistiđ	boatlistit
puáttee	boahttei
puátteš	boahtteš
puáttiđ	boahttit
puázzi	boazzi
puáđhudiđ	boađhudit
puáđistiđ	boađistit
puáššáá	boaššá
puđâldâs	buđaldas
puŋkki	buŋhkki
puŋkkáđ	buŋhkkát
puško	buiko
puškosáággáš	buikosággáš
puškáristiđ	buikáristit
pušteđ	buitet
pyeccee	buohccei
pyecceiauto	buohcceiauto
pyehtiđ	buohtit
pyeidi	buoidi
pyeidittem	buoidihtten
pyeidivepsi	buoidiveksi
pyelestiđ	buolestit
pyelliđ	buollit
pyeredistiđ	buoredistit
pyerediđ	buoredit
pyeredâttâđ	buoredadtat
pyereest	buoreast
pyereestpuáttim	buoreastpoahttin
pyeri	buori
pyeripuáttim	buoripoahttin
pyeritátulâš	buoritátulaš
pyerá	buorá
pyevtittiđ	buovtihttit
pyevtittâs	buovtihttas
pyeŋes	buoŋes
pyhámestpeivi	byhámestpeivi
páguttiđ	báguhttit
págárnjistiđ	bágárnjistit
páhudistiđ	báhudistit
páhudiđ	báhudit
páiháttuvâi	báiháhttuvai
páinu	báidnu
pájálistiđ	bájálistit
pákkum	báhkkun
pákkuđ	báhkkut
pálhustiđ	bálhustit
pálhášume	bálhášumi
pállurääsi	bállurási
páláttistiđ	báláhttistit
pánnu	bádnu
pánttááttiđ	bánhttáhttit
pánttáđ	bánhttát
pánáidittiđ	bánáidihttit
pánálistiđ	bánálistit
párccáđ	bárhccát
párguttiđ	bárguhttit
párguđ	bárgut
párgádiđ	bárgádit
párkku	bárhkku
párnáá	bárná
párttu	bárhttu
párttuluđ	bárhttulut
pártáskiđ	bártáskit
párudiđ	bárudit
párudâllâđ	bárudallat
párustiđ	bárustit
páránâššâđ	báránaššat
párásist	bárásist
pássár	bássár
pávkkuđ	bávhkkut
pááhu	báhu
pááihui	báihui
pááikán	báikán
páájáseh	bájáset
pááppár	báhppár
páárnáš	bárnáš
pááru	báru
pážžuđ	bážžut
päccee	báhccei
päddi	báddi
päddikeš-	báddikeš-
pähti	báhti
päikki	báihkki
päikkiellee	báihkkiellei
päikkikodde	báihkkikoddi
päikkipargo	báihkkipargo
päinittiđ	báidnihttit
päiniđ	báidnit
päiđi	báiđi
päiđittuđ	báiđihttut
päjidiđ	bájidit
päjistiđ	bájistit
päjittittiđ	bájihttihttit
päjittâttâđ	bájihttadtat
päksiđ	báksit
päldee	báldei
päljis	báljis
päljispoođâi	báljispođai
pälkki	bálhkki
pänijieŋâ	bándjieŋa
päniruuggâin	bániruggaidn
pänittem	bánihtten
pänittuđ	bánihttut
päniuážži	bánioažži
pärdiđ	bárdit
pärni	bárni
pärtti	bárhtti
pärttidiđ	bárhttidit
päskid	báskit
pävkkiđ	bávhkkit
pääccid	báhccit
pääcciđ	báhccit
pääcis	bácis
pääihist	báihist
päälgis	bálgis
pääli	báli
pääljis	báljis
pääni	báni
pääsi	bási
pääti	báti
päävir	bávir
päävtipajalâs	bávtipajalas
pääččim	báhččin
pääččimviärju	báhččimvearju
pääččiđ	báhččit
pääđđiđ	báđđit
päštil	báitil
päštiđ	báitit
pövkkyr	bövhkkyr
raahiđ	ráhit
raaijâđ	rádjat
raameeg	rámeat
raami	rámi
raamâ	ráma
raapoort	ráport
raattâđ	ráhttat
raavâ	ráva
raavâdviäsu	rávadveasu
raddalâs	raddalas
raddalâstáálu	raddalastálu
radde	raddi
raddelijne	raddeldjni
raddii	raddi
raddâ	radda
rahhiđ	rahhit
rahttâttâđ	rahhttadtat
rahtuđ	rahtut
rahtâččiđ	rahtahččit
raigiđ	raigit
raigâđ	raigat
raijiđ	radjit
raiđuustiđ	raiđustit
raiđuustâllâđ	raiđustallat
rakânâs	rakanas
rame	rami
rammuđ	rapmut
ramsahkuđ	ramsahgut
ramâdâs	ramadas
ramâččâttâđ	ramahččadtat
ranjestiđ	ranjestit
ranttu	ranhttu
rappâ	rahppa
rasijâš	rasdjaš
rasta	rasta
rastasiisâ	rastasisa
ratkuuttâh	ratguhttat
ratkuđ	ratgut
ravintola	ravidntola
ravkkâđ	ravhkkat
ravviittâs	ravvihttas
ravvim	ravvin
ravvimpalvâlus	ravvimpalvalus
ravviđ	ravvit
ravŋâstiđ	ravŋastit
ravžâ	ravža
raččođ	rahččot
rađe	rađi
rađđim	rađđin
rađđiđ	rađđit
raše	raši
raššoođ	raššot
reekkig	reahkkit
reettiđ	reahttit
reettâđ	reahttat
reevâs	reavas
registeeriđ	registearit
registeristiđ	registeristit
rehelâš	rehelaš
reikkiđ	reihkkit
reissiđ	reissit
reivâ	reiva
rekinistiđ	rekidnistit
reknistiđ	reknistit
renttiđ	renhttit
renttâ	renhtta
repči	repči
restiđ	restit
restâluđ	restalut
retkiđ	retgit
rettâ	rehtta
revkkee	revhkkei
revni	revdni
revnigâsân	revdnigasan
revnigâsâst	revdnigasast
reŋguustiđ	reŋgustit
reŋguđ	reŋgut
reŋgâ	reŋga
