SUOMI	SÄMIKIELÂ UUCÂMSÄÄNI	SAAMEN_HAK	SUOMEN_HAK	SAAMEN_RIN	ESIMERKKEJÄ JA LIITTYVIÄ ILMAUKSIA	SAAMEN_YHD	SUOMEN_YHD	SAAMEN_TAI	SUOMEN_HA2	SUOMEN_J_L
rikkavoikukka  Taraxacum officinale	rivgoouái'vi  -uáivi      	rivgoo	rikka			uái'vi	voikukka	-uáivi		Taraxacum officinale
rikki  (aine)	riššâ  riišâ      	riššâ	rikki					riišâ		(aine)
rikki  (ei ehjä)	cuovhâs;    (reikäinen) ráigáá # -s;  (mennä rikki, pilaantua) pillâšuđ pillâšuVá; (särkyä) cuov'kkâniđ  	cuovhâs;	rikki	(reikäinen) ráigáá # -s;	(mennä rikki, pilaantua) pillâšuđ pillâšuVá; (särkyä) cuov'kkâniđ					(ei ehjä)
rikkihappo  	riššâsuvrâ  -suuvrâ      	riššâ	rikki			suvrâ	happo	-suuvrâ		
rikkikääpä  Laetiporus sulphureus	riššâčááNá  -čááná ~ -čáná      	riššâ	rikki			čááNá	kääpä	-čááná ~ -čáná		Laetiporus sulphureus
rikkileinikki  Ranunculus sulphureus	riššâmieđâš  -miettâš ~ -mieđii      	riššâ	rikki			mieđâš	leinikki	-miettâš ~ -mieđii		Ranunculus sulphureus
rikkivalmuska  Tricholoma sulphureum	riššâšoovkâh  -šovkkâh      	riššâ	rikki			šoovkâh	valmuska	-šovkkâh		Tricholoma sulphureum
rikkoa  	(särkeä) cuov'kkiđ  cuov'kkiim cyev'kkee;  (pitkään) cuáv'kkuđ cuávhum; (tuhota) stajediđ staajeed; (abstr. esim. lakia) rikkođ rikom;  (rikkoa t. vaihtaa rahaa pienemmäksi) cuov'kkiđ cuov'kkiim cyev'kkee; (yrittää vaihtaa t. rikkoa rahaa pienemmäksi) cuov'kkiittâllâđ cuov'kkiittâlâm  	(särkeä) cuov'kkiđ	rikkoa	(pitkään) cuáv'kkuđ cuávhum; (tuhota) stajediđ staajeed; (abstr. esim. lakia) rikkođ rikom;	(rikkoa t. vaihtaa rahaa pienemmäksi) cuov'kkiđ cuov'kkiim cyev'kkee; (yrittää vaihtaa t. rikkoa rahaa pienemmäksi) cuov'kkiittâllâđ cuov'kkiittâlâm			cuov'kkiim cyev'kkee;		
rikkomus  	rikkomuš        	rikkomuš	rikkomus							
rikkonaisyys  (hajanaisuus)	piä'đgulâšvuotâ  -vuođâ      	piä'đgulâš	rikkonaisyys			vuotâ		-vuođâ		(hajanaisuus)
rikkoutua  	(särkyä) cuov'kkâniđ;    (mennä pilalle) pillâšuđ pillâšuVá; (tulla käyttökelvottomaksi) lággásiđ; (tulla särö esim. ikkunaan t. juomalasiin) ciŋkkáástiđ;  (tulla särjetyksi) cyev'kkejuđ  	(särkyä) cuov'kkâniđ;	rikkoutua	(mennä pilalle) pillâšuđ pillâšuVá; (tulla käyttökelvottomaksi) lággásiđ; (tulla särö esim. ikkunaan t. juomalasiin) ciŋkkáástiđ;	(tulla särjetyksi) cyev'kkejuđ					
rikkumaton  	čaavdes        	čaavdes	rikkumaton							
rikollinen  	rikolâš  rikolii      	rikolâš	rikollinen					rikolii		
rikos  	rikos  rikkos~rikkoos      	rikos	rikos					rikkos~rikkoos		
rikosasia  	rikosäšši  -ääŠi ~ -ääši      	rikos	rikos			äšši	asia	-ääŠi ~ -ääši		
rikosilmoitus  	rikosa'lmottâs        	rikos	rikos			a'lmottâs	ilmoitus			
rikosjuttu  	rikosäšši  -ääŠi ~ -ääši      	rikos	rikos			äšši	juttu	-ääŠi ~ -ääši		
rikoskumppani  	rikoskyei'mi  -kyeimi      	rikos	rikos			kyei'mi	kumppani	-kyeimi		
rikoskumppanuus  	rikoskyei'mivuotâ  -kyei'mivuođâ      	rikos	rikos			kyei'mivuotâ	kumppanuus	-kyei'mivuođâ		
rikoslaki  	rikoslaahâ  -laaVâ      	rikos	rikos			laahâ	laki	-laaVâ		
rikosoikeudellinen  	rikosvuoi'gâdvuo'đâlâš  -vuoi'gâdvuo'đâlii      	rikos	rikos			vuoi'gâdvuo'đâlâš	oikeudellinen	-vuoi'gâdvuo'đâlii		
rikosoikeus  	rikosvuoi'gâdvuotâ  -vuoi'gâdvuođâ      	rikos	rikos			vuoi'gâdvuotâ	oikeus	-vuoi'gâdvuođâ		
rikospoliisi  	rikospoolis        	rikos	rikos			poolis	poliisi			
rikosrekisteri  	rikosregister        	rikos	rikos			register	rekisteri			
rikosrekisteri-ilmoitus  	rikosregistera'lmottâs        	rikos	rikos			registera'lmottâs	rekisteri-ilmoitus			
rikosrekisterimerkintä  	rikosregistermerkkim        	rikos	rikos			registermerkkim	rekisterimerkintä			
rikosrekisteriote  	rikosregistervááldus  -váldus      	rikos	rikos			registervááldus	rekisteriote	-váldus		
rikostutkimus  	rikostutkâmuš        	rikos	rikos			tutkâmuš	tutkimus			
rikostutkinta  	rikostutkâm        	rikos	rikos			tutkâm	tutkinta			
rikosvahinko  	rikosvaahâg        	rikos	rikos			vaahâg	vahinko			
rimpi  	lyei'vee,    nješši njeeŠi, čäcijeggi -jeegi    	lyei'vee,	rimpi	nješši njeeŠi, čäcijeggi -jeegi						
rimpivesiherne  Utricularia intermedia	lyei'veečäciherttâ  -heertâ      	lyei'vee	rimpi			čäciherttâ	vesiherne	-heertâ		Utricularia intermedia
rimpuilla  	pa'ncârdiđ  paancârd,  ti'mbârdiđ tiimbârd    	pa'ncârdiđ	rimpuilla	ti'mbârdiđ tiimbârd				paancârd,		
rimssu  (liinassa)	riesâ  riessâm      	riesâ	rimssu					riessâm		(liinassa)
ringette  	rie'gisskiär'ru  -skiäru      	rie'gis	ringette			skiär'ru		-skiäru		
rinkeli  	riiŋgâl  riŋgâl      	riiŋgâl	rinkeli					riŋgâl		
rinnakkain  	raddaag        	raddaag	rinnakkain							
rinnalla  	itoi        	itoi	rinnalla							
rinnastaa  	paldâlistiđ  paldâlistám;  (verrata) verdidiđ verdid    	paldâlistiđ	rinnastaa	(verrata) verdidiđ verdid				paldâlistám;		
rinnasteinen  (esim. lause)	paldâlâs        	paldâlâs	rinnasteinen							(esim. lause)
rinnastuskonjunktio  	paldâlistemkonjunktio        	paldâlistem	rinnastus			konjunktio	konjunktio			
rinne  	(loiva tunturin t. mäen) viel'tti  vielti;  (jyrkempi kuin viel'tti) roobdâ robduu; (jyrkkä) rihte ri'vte; (lyhyt ja jyrkkä) cekki ceehi    	(loiva tunturin t. mäen) viel'tti	rinne	(jyrkempi kuin viel'tti) roobdâ robduu; (jyrkkä) rihte ri'vte; (lyhyt ja jyrkkä) cekki ceehi				vielti;		
rinta  	radde  rade;  (tissi) njamma njaMa    	radde	rinta	(tissi) njamma njaMa				rade;		
rintaevä  	ovdâvepsi  -veepsi;    (rintaevän seutu kalalla) äggil  	ovdâ	rinta		(rintaevän seutu kalalla) äggil	vepsi	evä	-veepsi;		
rintakehä  	raddevuov'dâ  -vuovdâ      	radde	rinta			vuov'dâ	kehä	-vuovdâ		
rintalasta  	mie'lgâtähti  -täävti;  (linnulla, piiksi) piksâ piivsâ    	mie'lgâ	rinta	(linnulla, piiksi) piksâ piivsâ		tähti	lasta	-täävti;		
rintalihas  	raddetekki  -teehi;    (iso rintalihas) stuor'râ raddetekki -teehi  	radde	rinta		(iso rintalihas) stuor'râ raddetekki -teehi	tekki	lihas	-teehi;		
rintaliivit  (mon.)	njammaliivih  (mon.);    (imetysrintaliivit) njomâttemnjammaliivih  	njamma	rinta		(imetysrintaliivit) njomâttemnjammaliivih	liivih	liivit	(mon.);		(mon.)
rintaluu  (hanhen)	čuán'njááčuár'vi  -čuárvi      	čuán'njáá	rinta			čuár'vi	luu	-čuárvi		(hanhen)
rintama  	radostâh  radostuv;  (sotarintama) suá'tišiljo -ši'ljo, suá'tiradostâh -radostuv    	radostâh	rintama	(sotarintama) suá'tišiljo -ši'ljo, suá'tiradostâh -radostuv				radostuv;		
rintaontelo  	vuov'dâ  vuovdâ;  (eläimen) vaardâ varduu    	vuov'dâ	rinta	(eläimen) vaardâ varduu			ontelo	vuovdâ;		
rintaperillinen  	raddeá'rbálâš  -á'rbálii      	radde	rinta			á'rbálâš	perillinen	-á'rbálii		
rintava  	raddaa  # -s      	raddaa	rintava					# -s		
ripa  	ripá  rivá,  ripá    	ripá	ripa	ripá				rivá,		
ripauttaa  	(sadekuuro tms.) ri'psádiđ  ripsáád;  (esim. suolaa ruokaan) ripsááttiđ    	(sadekuuro tms.) ri'psádiđ	ripauttaa	(esim. suolaa ruokaan) ripsááttiđ				ripsáád;		
ripittää  	ripâttiđ  riippât      	ripâttiđ	ripittää					riippât		
ripotella  	(sataa vähän) ripseđ  ripseh,  riškeđ ri'škám; (esim. suolaa ruokaan) ripsááttiđ, kalveliđ, kalvelistiđ    	(sataa vähän) ripseđ	ripotella	riškeđ ri'škám; (esim. suolaa ruokaan) ripsááttiđ, kalveliđ, kalvelistiđ				ripseh,		
ripottaa  	(sateesta) ri'pšâttiđ  riipsât;  (varistaa) kaVâgyet'tiđ kaVâkuá'đám    	(sateesta) ri'pšâttiđ	ripottaa	(varistaa) kaVâgyet'tiđ kaVâkuá'đám				riipsât;		
rippi  	rippâ  riipâ      	rippâ	rippi					riipâ		
rippikoulu  	rippâškovlâ  -škoovlâ      	rippâ	rippi			škovlâ	koulu	-škoovlâ		
ripsi  	raamâs  rammâs  ~ roomâs rommâs    	raamâs	ripsi	~ roomâs rommâs				rammâs		
ripsikello  	riessâmtivgâ  -tiivgâ      	riessâm	ripsi			tivgâ	kello	-tiivgâ		
ripsiväri  	ramâsivne  -iivne ~ -i'vne      	ramâs	ripsi			ivne	väri	-iivne ~ -i'vne		
ripsiä  (vettä)	ripseđ  ripseh,  tiškeđ ti'škám ~ riškeđ ri'škám    	ripseđ	ripsiä	tiškeđ ti'škám ~ riškeđ ri'škám				ripseh,		(vettä)
ripuli  	luččâtavdâ  -taavdâ,  čuáv'jitavdâ -taavdâ    	luččâ	ripuli	čuáv'jitavdâ -taavdâ		tavdâ		-taavdâ,		
ripuliuloste  	luččâ  luuJâ      	luččâ	ripuli				uloste	luuJâ		
ripuloida  	luččoođ  lujom,  luččiđ luččiim    	luččoođ	ripuloida	luččiđ luččiim				lujom,		
ripustaa  	he'ŋgâstiđ  heeŋgâst,  heŋgiđ heŋgiim, kosostiđ kossoost; (roikkumaan) kohâstiđ koohâst; (kaloja kuivumaan riu'ulle) pá'lhustiđ páálhust; (vartaaseen kuivumaan) vä'rdistiđ väärdist    	he'ŋgâstiđ	ripustaa	heŋgiđ heŋgiim, kosostiđ kossoost; (roikkumaan) kohâstiđ koohâst; (kaloja kuivumaan riu'ulle) pá'lhustiđ páálhust; (vartaaseen kuivumaan) vä'rdistiđ väärdist				heeŋgâst,		
ripustautua  	heŋgittiđ  heeŋgit      	heŋgittiđ	ripustautua					heeŋgit		
ripustella  	koccoođ  kosom;  (esim. pyykkiä) hiäŋ'guđ hiäŋgum    	koccoođ	ripustella	(esim. pyykkiä) hiäŋ'guđ hiäŋgum				kosom;		
ripustin  	heeŋgâs  heŋgâs      	heeŋgâs	ripustin					heŋgâs		
ripustustappi  	skovžâ  skoovžâ      	skovžâ	ripustus				tappi	skoovžâ		
ripustusteline  (kolmijalkainen, puinen)	syenjir~syennjir        	syenjir~syennjir	ripustus				teline			(kolmijalkainen, puinen)
risakkaat  Inocybe	loccâkuob'bâreh        	loccâ	risakkaat			kuob'bâreh				Inocybe
riski  (subst.)	riskâ        	riskâ	riski							(subst.)
riskilä  Cepphus grylle	čiellâh        	čiellâh	riskilä							Cepphus grylle
riskiys  	ri'skesvuotâ  ri'skesvuođâ      	ri'skesvuotâ	riskiys					ri'skesvuođâ		
risku  	soljo  so'ljo      	soljo	risku					so'ljo		
rispaannuttaa  	kargiđ  kargiim kärgee      	kargiđ	rispaannuttaa					kargiim kärgee		
rispaantua  	saigâniđ,    ša'rgijdiđ, hilppániđ;  (helposti rispaantuva vaatteesta) saigâneijee # -s  	saigâniđ,	rispaantua	ša'rgijdiđ, hilppániđ;	(helposti rispaantuva vaatteesta) saigâneijee # -s					
rispaantunut  	saaigâs  saigâs      	saaigâs	rispaantunut					saigâs		
risteillä  	ruos'sâlistiđ  ruos'sâlistám      	ruos'sâlistiđ	risteillä					ruos'sâlistám		
risteilyalus  	ruos'sâlistemtamppâ  -taampâ      	ruos'sâlistem	risteily			tamppâ	alus	-taampâ		
risteymä  	ruos'sâlistum        	ruos'sâlistum	risteymä							
risteys  	ratkuuttâh  ratkuuttuv      	ratkuuttâh	risteys					ratkuuttuv		
risteytys  	ruos'sâlistum        	ruos'sâlistum	risteytys							
risteytyä  	ruos'sâlistuđ  ruos'sâlistoo      	ruos'sâlistuđ	risteytyä					ruos'sâlistoo		
risti  	ristâ  riistâ,  ruos'sâ ruosâ; (risti-, ristikkäin) sálbu-; (vitsaus) viätu viäđu    	ristâ	risti	ruos'sâ ruosâ; (risti-, ristikkäin) sálbu-; (vitsaus) viätu viäđu				riistâ,		
ristihämähäkki  Araneus diadematus	ruos'sâevni  -eevni      	ruos'sâ	risti			evni	hämähäkki	-eevni		Araneus diadematus
ristiin  	ristâlâsân,    ruos'sâlâsân;  (panna kädet ristiin) sá'lbuttiđ sáálbut ~sá'lvuttiđ sáálvut kieđâid  	ristâlâsân,	ristiin	ruos'sâlâsân;	(panna kädet ristiin) sá'lbuttiđ sáálbut ~sá'lvuttiđ sáálvut kieđâid					
ristiin  rastiin	ruos'sâd        	ruos'sâd	ristiin							rastiin
ristiinnaulita  	riistânnavliđ  -navliim -nävlee      	riistân	ristiin			navliđ	naulita	-navliim -nävlee		
ristikko  	ruos'sâhâš  ruos'sâháá      	ruos'sâhâš	ristikko					ruos'sâháá		
ristikkäin, ristikkäinen  	ruos'sâlâs;    (lomittain) sálvulâs    	ruos'sâlâs;	ristikkäin, ristikkäinen	(lomittain) sálvulâs						
ristilimaska  Lemna trisulca	ruos'sânjiilâs  -njiillâs      	ruos'sâ	risti			njiilâs	limaska	-njiillâs		Lemna trisulca
ristiluu  	känistähti  -täävti      	känis	risti			tähti	luu	-täävti		
ristinkuolema  	ristâjäämmim        	ristâ	ristin			jäämmim	kuolema			
ristinmerkki  	riistâmerkkâ  -meerhâ      	riistâ	ristin			merkkâ	merkki	-meerhâ		
ristinpuu  	riistâmuoRâ  -muorâ      	riistâ	ristin			muoRâ	puu	-muorâ		
ristinpäivä  (14.9.)	viisniipeivi  -peeivi      	viisnii	ristin			peivi	päivä	-peeivi		(14.9.)
ristinviikko  (siidan syyskokouksen aika, syyskuun puolivälin tienoilla)	viisniiokko  -oho      	viisnii	ristin			okko	viikko	-oho		(siidan syyskokouksen aika, syyskuun puolivälin tienoilla)
ristipäämeisseli  	ristâkešmeissel,    ristânjunmeissel    	ristâ	risti	ristânjunmeissel		kešmeissel,	päämeisseli			
ristiriitainen  	ruos'sâlâs        	ruos'sâlâs	risti				riitainen			
ristiselkä  	šotkâšeh  (mon.);  (luu porolla) kááccát~kááccât    	šotkâšeh	risti	(luu porolla) kááccát~kááccât			selkä	(mon.);		
ristisorsa  Tadorna tadorna	ruos'sâtuár'šu  -tuáršu      	ruos'sâ	risti			tuár'šu	sorsa	-tuáršu		Tadorna tadorna
ristissä  	ruos'sâlâs;    (lomittain) sálvulâs    	ruos'sâlâs;	ristissä	(lomittain) sálvulâs						
ristiä  	(tehdä ristinmerkki) ristâđ  riistâm;  (kätensä) sá'lbuttiđ sáálbut ~sá'lvuttiđ sáálvut    	(tehdä ristinmerkki) ristâđ	ristiä	(kätensä) sá'lbuttiđ sáálbut ~sá'lvuttiđ sáálvut				riistâm;		
risu  	(lattian kattamiseen kodassa) tuor'gâ  tuorgâ;  risse rise    	(lattian kattamiseen kodassa) tuor'gâ	risu	risse rise				tuorgâ;		
risumerta  	lääNi  lääni ~ läne      	lääNi	risu				merta	lääni ~ läne		
rita  	ká'skástâh  ká'skástuv      	ká'skástâh	rita					ká'skástuv		
ritari  	riitaar  ritarist ritareh      	riitaar	ritari					ritarist ritareh		
ritsi  	ricci  riici      	ricci	ritsi					riici		
riuhtaista  	rovgiđ  rovgiim ravgee,  rundáđ rundáám    	rovgiđ	riuhtaista	rundáđ rundáám				rovgiim ravgee,		
riuhtoa  	ravgođ  ra'vgom ~ raavgom,   rundođ ru'ndom    	ravgođ	riuhtoa	 rundođ ru'ndom				ra'vgom ~ raavgom,		
riuhtova  (ajokkaasta)	roššuu  # -s      	roššuu	riuhtova					# -s		(ajokkaasta)
riuku  	skarbâ  skaarbâ;  (taljan kuivatukseen) čuhčâ čuuvčâ ~ suhčâ suuvčâ;  (panna kuivumaan erit. riu'ulle) (akt.) suhčâdiđ ~ čuhčâdiđ, (pass.) suhčâduđ ~ čuhčâduđ čuhčâduum čuhčâduVá  	skarbâ	riuku	(taljan kuivatukseen) čuhčâ čuuvčâ ~ suhčâ suuvčâ;	(panna kuivumaan erit. riu'ulle) (akt.) suhčâdiđ ~ čuhčâdiđ, (pass.) suhčâduđ ~ čuhčâduđ čuhčâduum čuhčâduVá			skaarbâ;		
riuku  (ei-saamelainen nainen)	rivgoo;      (tulla riukun kaltaiseksi saamelaisnaisesta) rivgooluđ rivgooluum rivgooluVá  	rivgoo;	riuku		(tulla riukun kaltaiseksi saamelaisnaisesta) rivgooluđ rivgooluum rivgooluVá					(ei-saamelainen nainen)
riuska  	tuámmir  # tuá'Miris      	tuámmir	riuska					# tuá'Miris		
riutta  	kárgu  káárgu      	kárgu	riutta					káárgu		
riuttatiira  Sterna sandvicensis	riddočierrih~-čier'rih~-čerrih        	riddo	riutta			čierrih~-čier'rih~-čerrih	tiira			Sterna sandvicensis
rivi  	raddalâs        	raddalâs	rivi							
rivitalo  	ráiđutááLu  -táálu ~ -tálo,  raddalâstááLu -táálu ~ -tálo    	ráiđu	rivi	raddalâstááLu -táálu ~ -tálo		tááLu	talo	-táálu ~ -tálo,		
robotti  	rooboot        	rooboot	robotti							
rodoniitti  	rodoniit        	rodoniit	rodoniitti							
rohjeta  	ruok'kâniđ,    tuos'tâđ tuostâm tuás'tá; o'skeldiđ oskeeld; (uskaltautua) o'skeldâttâđ o'skeldâđâm; (juljeta, kehdata) ooviittiđ oovit;  (rohkaista itsensä) ruá'kášâttâđ ruá'kášâđâm, ruo'kâsmiđ ruokkâsm  	ruok'kâniđ,	rohjeta	tuos'tâđ tuostâm tuás'tá; o'skeldiđ oskeeld; (uskaltautua) o'skeldâttâđ o'skeldâđâm; (juljeta, kehdata) ooviittiđ oovit;	(rohkaista itsensä) ruá'kášâttâđ ruá'kášâđâm, ruo'kâsmiđ ruokkâsm					
rohkaista  	ruá'kášiđ  ruákkáš,  ruák'kášiđ ruák'káš, ruo'kâsmittiđ ruo'kâsmitám    	ruá'kášiđ	rohkaista	ruák'kášiđ ruák'káš, ruo'kâsmittiđ ruo'kâsmitám				ruákkáš,		
rohkaistua  	ruá'kášâttâđ  ruá'kášâđâm,  ruo'kâsmiđ ruokkâsm    	ruá'kášâttâđ	rohkaistua	ruo'kâsmiđ ruokkâsm				ruá'kášâđâm,		
rohkea  	ruok'kâd  # ruok'kâdis ~ ruo'kis,  tyes'til # -s; (sudesta t. muista pedoista) snielah;  (tulla rohkeammaksi) ruo'kâsmiđ ruokkâsm  	ruok'kâd	rohkea	tyes'til # -s; (sudesta t. muista pedoista) snielah;	(tulla rohkeammaksi) ruo'kâsmiđ ruokkâsm			# ruok'kâdis ~ ruo'kis,		
rohkeasti  	ruok'kâdávt        	ruok'kâdávt	rohkeasti							
rohkeus  	ruok'kâdvuotâ  ruok'kâdvuođâ      	ruok'kâdvuotâ	rohkeus					ruok'kâdvuođâ		
rohtopernaruoho  Sisymbrium officinale	tal'hâstäbđisyei'ni  -syeini      	tal'hâs	rohto			täbđisyei'ni	pernaruoho	-syeini		Sisymbrium officinale
rohtotädyke  Veronica officinalis	ta'lhâspäinee        	ta'lhâs	rohto			päinee	tädyke			Veronica officinalis
roikkua  	hiäŋ'gáđ  hiäŋ'gáám;  (jssak) sorččáđ sorččáám; (kankaasta tms., lepattaen) faškârâššâđ; (raskaasti esim. hiukset silmillä, märät vaatteet, ruoho) sonnjoođ soNjo; (esim. vaatteesta) njooccâđ njoosâm njaca;  (roikkumaan) heŋgâsân; (roikkumassa) heŋgâsist; (jäädä roikkumaan jhk) ha'ŋkettiđ haŋkeet; (jäädä roikkumaan pyydykseen) heŋgâsiđ heeŋgâs  	hiäŋ'gáđ	roikkua	(jssak) sorččáđ sorččáám; (kankaasta tms., lepattaen) faškârâššâđ; (raskaasti esim. hiukset silmillä, märät vaatteet, ruoho) sonnjoođ soNjo; (esim. vaatteesta) njooccâđ njoosâm njaca;	(roikkumaan) heŋgâsân; (roikkumassa) heŋgâsist; (jäädä roikkumaan jhk) ha'ŋkettiđ haŋkeet; (jäädä roikkumaan pyydykseen) heŋgâsiđ heeŋgâs			hiäŋ'gáám;		
roiskahtaa  	tuškáđ  tuškájeh      	tuškáđ	roiskahtaa					tuškájeh		
roiskauttaa  	tuškođ  tu'škom      	tuškođ	roiskauttaa					tu'škom		
roiskeläppä  	riiškâpiltte  -pi'lte      	riiškâ	roiske			piltte	läppä	-pi'lte		
roiskesuoja  	stirccomsyeJi  -sye'je      	stirccom	roiske			syeJi	suoja	-sye'je		
roiskua  	riškođ  ri'škom      	riškođ	roiskua					ri'škom		
rojahtaa  	rä'mškittiđ  räämškit      	rä'mškittiđ	rojahtaa					räämškit		
rojauttaa  	šavgâliđ        	šavgâliđ	rojauttaa							
rokko  	puák'ku  puáhu      	puák'ku	rokko					puáhu		
rokote  	puá'huttâs,    puá'kuttâs    	puá'huttâs,	rokote	puá'kuttâs						
rokottaa  	puá'huttiđ  puáhut,  puá'kuttiđ puákut, puák'kudiđ puákkut    	puá'huttiđ	rokottaa	puá'kuttiđ puákut, puák'kudiđ puákkut				puáhut,		
rollaattori  	rollaattor        	rollaattor	rollaattori							
romaani  (kirja)	roomaan        	roomaan	romaani							(kirja)
romahtaa  	koččâđ  koočâm;  (lysähtää) ku'rpettiđ kurppeet    	koččâđ	romahtaa	(lysähtää) ku'rpettiđ kurppeet				koočâm;		
romani  (ihminen)	romani        	romani	romani							(ihminen)
rommi  	rommâ  rooMâ      	rommâ	rommi					rooMâ		
rompsi  (riuku jolla venettä ohjataan koskea ylös kiskottaessa)	romssi  roomsi      	romssi	rompsi					roomsi		(riuku jolla venettä ohjataan koskea ylös kiskottaessa)
romu  	skuot'tâ  skuotâ,  spiek'ki spiehi, ruáš'ku ruášku    	skuot'tâ	romu	spiek'ki spiehi, ruáš'ku ruášku				skuotâ,		
romurauta  	skuot'târyev'di  -ryevdi,  šlamburryev'di -ryevdi    	skuot'tâ	romu	šlamburryev'di -ryevdi		ryev'di	rauta	-ryevdi,		
rooli  	rooli~roolâ        	rooli~roolâ	rooli							
roottori  	roottor        	roottor	roottori							
ropina  	rooppân,    šiirrân~širrân    	rooppân,	ropina	šiirrân~širrân						
ropista  (sateesta)	šolijdiđ  šoolijd      	šolijdiđ	ropista					šoolijd		(sateesta)
ropisuttaa  	ruá'váidittiđ  ruá'váiditám      	ruá'váidittiđ	ropisuttaa					ruá'váiditám		
roska  	roske  ro'ske,  lyeNi lye'ne; (rikka) rippâ riivâ; (lika, törky) ruzze ruze; (kenkäheinien pehmityksessä syntyneet) miä'idáttuvah (mon.)    	roske	roska	lyeNi lye'ne; (rikka) rippâ riivâ; (lika, törky) ruzze ruze; (kenkäheinien pehmityksessä syntyneet) miä'idáttuvah (mon.)				ro'ske,		
roskaantua  	luá'náttuđ  luá'náttuVá;  (verkosta) suáv'vuđ suáVum    	luá'náttuđ	roskaantua	(verkosta) suáv'vuđ suáVum				luá'náttuVá;		
roskainen  	luán'náá  # -s,  roskáá # -s    	luán'náá	roskainen	roskáá # -s				# -s,		
roskakori  (m. tietokoneessa)	lye'Nilitte  -lite,  roskelitte -lite, roskekoori    	lye'Ni	roska	roskelitte -lite, roskekoori		litte	kori	-lite,		(m. tietokoneessa)
roskata  	luon'niđ  luon'niim lyen'nee,  roskiđ roskiim    	luon'niđ	roskata	roskiđ roskiim				luon'niim lyen'nee,		
roso  (tuohessa)	ryeb'bi  ryebi      	ryeb'bi	roso					ryebi		(tuohessa)
rosoinen  (tuohi)	ruáb'báá  # -s      	ruáb'báá	rosoinen					# -s		(tuohi)
rotisko  	hátárâh  hátáruv      	hátárâh	rotisko					hátáruv		
rotko  	korsâ  koorsâ,  ävži äävži    	korsâ	rotko	ävži äävži				koorsâ,		
rotta  Rattus norvegicus	rottá  rotá      	rottá	rotta					rotá		Rattus norvegicus
rotu  	nääLi  nääli ~ näle      	nääLi	rotu					nääli ~ näle		
rotusyrjintä  	näLio'lgoštem        	näLi	rotu			o'lgoštem	syrjintä			
rouhe  	muttiittâs        	muttiittâs	rouhe							
rouhia  	ruok'kâđ  ruohâm ruák'ká      	ruok'kâđ	rouhia					ruohâm ruák'ká		
rouko  	ruáv'vu  ruáVu      	ruáv'vu	rouko					ruáVu		
roukua  	ruov'gâđ  ruovgâm      	ruov'gâđ	roukua					ruovgâm		
rousku  	ruáv'sku  ruávsku,  miel'kkikuobâr -kuob'bâr    	ruáv'sku	rousku	miel'kkikuobâr -kuob'bâr				ruávsku,		
rouskut  Lactarius	ruávskuh        	ruávskuh	rouskut							Lactarius
rouskutus  	smiergâs  smier'gâs      	smiergâs	rouskutus					smier'gâs		
routa  	tuáLu  tuálu      	tuáLu	routa					tuálu		
routainen  (maasta)	tuol'luu  # -s      	tuol'luu	routainen					# -s		(maasta)
rou'unta  	ruovgâs  ruov'gâs      	ruovgâs	rou'unta					ruov'gâs		
rouva  	rovvá  roVá      	rovvá	rouva					roVá		
rova  	ruáVi  ruávi,  puállám    	ruáVi	rova	puállám				ruávi,		
rovasti  	ruávást        	ruávást	rovasti							
rove  	(kookas) luás'tu  luástu;  (pienehkö ilman tukireunusta) kyeš'šipuár'tti -puárti; (tukireunuksellinen) puár'tti puárti; (sangallinen) kyeš'ši kyeŠi    	(kookas) luás'tu	rove	(pienehkö ilman tukireunusta) kyeš'šipuár'tti -puárti; (tukireunuksellinen) puár'tti puárti; (sangallinen) kyeš'ši kyeŠi				luástu;		
rubiini  	ruubiin        	ruubiin	rubiini							
rubiinisatakieli  Luscinia calliope	ruubiinčye'tikieLâ  -kielâ      	ruubiin	rubiini			čye'tikieLâ	satakieli	-kielâ		Luscinia calliope
ruhje  	šietkâs  šiet'kâs      	šietkâs	ruhje					šiet'kâs		
ruhjoa  	šie'tkâstiđ  sietkâst      	šie'tkâstiđ	ruhjoa					sietkâst		
ruho  	roppâ  roopâ,  roppe rope; (poron) koorood    	roppâ	ruho	roppe rope; (poron) koorood				roopâ,		
ruhonpuolisko  	rittâpeeLi  -pele      	rittâ	ruhon			peeLi	puolisko	-pele		
ruhtinas  	furstâ        	furstâ	ruhtinas							
ruijankissankäpälä  Antennaria nordhageniana	káisákisákeeppil    ~ káisákiSákeeppil    	káisá	ruijan	~ káisákiSákeeppil		kisákeeppil	kissankäpälä			Antennaria nordhageniana
ruijankuirimo  Cochlearia fenestrata	ta'lhâspastem        	ta'lhâs	ruijan			pastem	kuirimo			Cochlearia fenestrata
ruijanpahtahanhikki  Potentilla chamissonis	pähtisuor'mâlostâ  -loostâ      	pähti	ruijan			suor'mâlostâ	pahtahanhikki	-loostâ		Potentilla chamissonis
ruijanpallas  Hippoglossus hippoglossus	pääldis  páldá      	pääldis	ruijan				pallas	páldá		Hippoglossus hippoglossus
